	MeC_id	TopTF	TopGene20	TopGene100	Enrich	Enrich_MSigDB_Hallmark_2020	Enrich_GO_Biological_Process_2021	Enrich_Reactome_2016	Enrich_BioPlanet_2019	Enrich_WikiPathways_2019_Human	Enrich_KEGG_2021_Human	Enrich_GO_Molecular_Function_2021	Lisa	Lisa_topcelltype	TF_MeC_top	TF_Lisa_top	TF_MeCLisa_top	TF_MeCLisa_top_1	sc_expr_toptype
0	MeC_0	STAT1,IRF7,SP100,SP110,STAT2,ELF1	ISG15,IFI6,LY6E,MX1,ISG20,IFI44L,IFITM1,IFIT3,STAT1,MT2A,BST2,OAS1,UBE2L6,IFIT1,EPSTI1,XAF1,IRF7,MX2,SAT1,IFI16	ISG15,IFI6,LY6E,MX1,ISG20,IFI44L,IFITM1,IFIT3,STAT1,MT2A,BST2,OAS1,UBE2L6,IFIT1,EPSTI1,XAF1,IRF7,MX2,SAT1,IFI16,EIF2AK2,IFITM3,IFITM2,TRIM22,SAMD9L,IFI44,RNF213,IFI35,RSAD2,PLSCR1,PSMB9,LAP3,GBP1,TNFSF10,IFIT2,SP100,OASL,PSME2,PARP14,OAS3,SAMD9,OAS2,PARP9,DRAP1,ADAR,SP110,HERC5,TYMP,NT5C3A,PSMB8,TAP1,CMPK2,TMEM123,MYL12A,LGALS9,USP18,C19orf66,CD164,PPM1K,PSME1,GBP4,DYNLT1,CXCL10,PHF11,CD48,NMI,STAT2,SHISA5,SMCHD1,ELF1,DNAJA1,RBCK1,DDX60,DDX58,GBP2,CHMP5,DDX60L,APOL6,WARS,HLA-E,IFIH1,IFI27,HLA-C,HSH2D,CARD16,HELZ2,TNFSF13B,ANXA1,ALOX5AP,CD69,XRN1,RARRES3,PNPT1,MYD88,ZNFX1,CHST12,PSMA4,SLFN5,NUB1,C4orf3	Interferon Alpha Response; Interferon Gamma Response; cellular response to type I interferon (GO:0071357); type I interferon signaling pathway (GO:0060337); Interferon Signaling Homo sapiens R-HSA-913531	Interferon Alpha Response; Interferon Gamma Response; Inflammatory Response	cellular response to type I interferon (GO:0071357); type I interferon signaling pathway (GO:0060337); defense response to virus (GO:0051607)	Interferon Signaling Homo sapiens R-HSA-913531; Interferon alpha/beta signaling Homo sapiens R-HSA-909733; Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	Interferon signaling; Interferon alpha/beta signaling; Immune system signaling by interferons, interleukins, prolactin, and growth hormones	The human immune response to tuberculosis WP4197; Type II interferon signaling (IFNG) WP619; Proteasome Degradation WP183	Influenza A; Measles; Hepatitis C	double-stranded RNA binding (GO:0003725); adenylyltransferase activity (GO:0070566); RNA binding (GO:0003723)	IRF2,STAT2,STAT1,IRF1,FOXP1,ETV6,RXRG,CDK8,TP53,RELA,MAF,IKZF1,ZNF799,BRD4,STAT5B,MYB,KLF5,STAT5A,T,MED1	Proerythroblast,Bone Marrow	IRF7,IFI16,SP100,SP110,NMI	IRF2,IRF1,FOXP1,ETV6,TP53	STAT1,STAT2	STAT1,STAT2,PML,ELF1,TRIM22,IRF9	Treg,CD8Tex
1	MeC_1	HMGB2,HMGB1,CARHSP1	TUBA1B,H2AFZ,HMGB2,STMN1,TUBB,HIST1H4C,HMGN2,HMGB1,DUT,TYMS,DEK,MKI67,TOP2A,H2AFV,PCNA,RRM2,NUSAP1,SMC4,UBE2C,ANP32B	TUBA1B,H2AFZ,HMGB2,STMN1,TUBB,HIST1H4C,HMGN2,HMGB1,DUT,TYMS,DEK,MKI67,TOP2A,H2AFV,PCNA,RRM2,NUSAP1,SMC4,UBE2C,ANP32B,TK1,CENPF,PTMA,PTTG1,CDK1,TUBB4B,CKS1B,NUCKS1,TMPO,BIRC5,MCM7,CKS2,ZWINT,ARL6IP1,RANBP1,TPX2,SLC25A5,SIVA1,ANP32E,TMEM106C,SMC2,SNRPB,CENPM,DNAJC9,NASP,ASPM,HNRNPA2B1,RAN,KIF22,PCLAF,H2AFX,IDH2,KIAA0101,COX8A,MAD2L1,CCNA2,RPA3,ASF1B,DTYMK,AURKB,DNMT1,VIM,CDKN3,MT2A,DDX39A,RRM1,PRC1,RAD21,TUBA1C,CALM2,UBE2T,CALM3,CLSPN,ATAD2,MCM5,KPNA2,LSM4,FEN1,CARHSP1,LMNB1,MCM3,CRIP1,MZT2B,GGH,EZH2,TPI1,FAM111A,CENPW,ANAPC11,USP1,TACC3,SRSF3,CENPU,BUB3,KIF20B,CCNB2,SMC1A,H2AFY,SAE1,GMNN	E2F Targets; G2-M Checkpoint; Cell Cycle, Mitotic Homo sapiens R-HSA-69278; Cell Cycle Homo sapiens R-HSA-1640170; Cell cycle	E2F Targets; G2-M Checkpoint; Myc Targets V1	DNA metabolic process (GO:0006259); mitotic spindle organization (GO:0007052); microtubule cytoskeleton organization involved in mitosis (GO:1902850)	Cell Cycle, Mitotic Homo sapiens R-HSA-69278; Cell Cycle Homo sapiens R-HSA-1640170; M Phase Homo sapiens R-HSA-68886	Cell cycle; DNA replication; Cell cycle checkpoints	Retinoblastoma Gene in Cancer WP2446; Cell Cycle WP179; Regulation of sister chromatid separation at the metaphase-anaphase transition WP4240	Cell cycle; DNA replication; Oocyte meiosis	single-stranded DNA binding (GO:0003697); damaged DNA binding (GO:0003684); RNA binding (GO:0003723)	FOXM1,MYBL2,E2F4,E2F1,RELA,RBL2,RB1,RNF2,TFDP1,FOS,FOXP1,POLR2B,MYC,GTF2B,NELFA,OGT,SCML2,ASXL1,NELFE,BRD4	U2OS,Bone	HMGB2,HMGN2,HMGB1,NASP,RAN	FOXM1,MYBL2,E2F4,E2F1,RELA		CBX3,EZH2,CBX5,YBX1,PSIP1	TMKI67
2	MeC_2	NR4A1,JUN,ID3,ATF3	HSPA1A,HSPA1B,DNAJB1,HSP90AA1,HSPB1,HSPH1,HSPE1,HSPA6,HSPD1,HSP90AB1,DNAJA1,HSPA8,CACYBP,UBC,ZFAND2A,BAG3,UBB,RGS2,PPP1R15A,SERPINH1	HSPA1A,HSPA1B,DNAJB1,HSP90AA1,HSPB1,HSPH1,HSPE1,HSPA6,HSPD1,HSP90AB1,DNAJA1,HSPA8,CACYBP,UBC,ZFAND2A,BAG3,UBB,RGS2,PPP1R15A,SERPINH1,TCP1,IER5,MRPL18,PTGES3,CLK1,DNAJB4,FKBP4,DNAJB6,AHSA1,DNAJA4,CHORDC1,DOK2,LGALS1,NR4A1,HSPA1L,DEDD2,SOD1,ANXA1,CCT4,STIP1,PLIN2,TRA2B,JUN,TSPYL2,GADD45B,TXNIP,SNX3,RPL36AL,G0S2,NEU1,CKS2,HSPA4,EIF5,NUDC,IFNG,DYNLL1,CXCL8,SLC3A2,S100A4,HSPE1-MOB4,ANKRD37,MT-CYB,SUMO2,MT-ATP6,SNAP23,TIMP1,PPP1R2,FTL,TAF7,EIF4A2,SLC25A6,HNRNPU,ID3,ST13,MAP1LC3B,SLC20A1,CDC42EP3,HLA-DPB1,NOP10,MRPS6,CCT2,MT-ND2,MT-ND4,BCAS2,MALAT1,CLEC2B,ATF3,DUSP1,HSPA5,IGLL5,PRRC2C,PFDN5,TNF,CRYAB,FXYD5,RHOB,SLC25A5,RPL26,HLA-DRA,C12orf57	Attenuation phase Homo sapiens R-HSA-3371568; response to unfolded protein (GO:0006986); HSF1-dependent transactivation Homo sapiens R-HSA-3371571; HSF1 activation Homo sapiens R-HSA-3371511; Cellular response to heat stress Homo sapiens R-HSA-3371556	Apoptosis; TNF-alpha Signaling via NF-kB; UV Response Up	response to unfolded protein (GO:0006986); 'de novo' posttranslational protein folding (GO:0051084); regulation of cellular response to heat (GO:1900034)	Attenuation phase Homo sapiens R-HSA-3371568; HSF1-dependent transactivation Homo sapiens R-HSA-3371571; HSF1 activation Homo sapiens R-HSA-3371511	Antigen processing and presentation; BDNF signaling pathway; T cell receptor regulation of apoptosis	Nuclear Receptors Meta-Pathway WP2882; Parkin-Ubiquitin Proteasomal System pathway WP2359; MAPK Signaling Pathway WP382	Antigen processing and presentation; Protein processing in endoplasmic reticulum; Legionellosis	ubiquitin protein ligase binding (GO:0031625); ubiquitin-like protein ligase binding (GO:0044389); ATPase regulator activity (GO:0060590)	HSF1,NCOA1,PPARGC1A,BRD4,AFF4,TP53,GMEB2,GTF2B,PAF1,MED1,NELFE,TAF1,REL,KAT2B,BCL3,SMAD5,CPSF3L,MAF,SUPT5H,MYH11	HCT-116,Colon	CCT4	HSF1,NCOA1,PPARGC1A,BRD4,AFF4	NR4A1	NR4A1,JUN	Th1
3	MeC_3	IRF7,IRF8,TCF4,SOX4,SPIB,IRF4,BCL11A	GZMB,JCHAIN,PLAC8,IRF7,ALOX5AP,IRF8,ITM2C,LILRA4,NPC2,GPR183,TCF4,SEC61B,SERPINF1,PLD4,UGCG,C12orf75,PPP1R14B,PTGDS,CCDC50,PLP2	GZMB,JCHAIN,PLAC8,IRF7,ALOX5AP,IRF8,ITM2C,LILRA4,NPC2,GPR183,TCF4,SEC61B,SERPINF1,PLD4,UGCG,C12orf75,PPP1R14B,PTGDS,CCDC50,PLP2,APP,TXN,TSPAN13,CLIC3,SPCS1,IL3RA,RNASET2,HERPUD1,CTSB,MPEG1,SOX4,MYL12A,RGS2,SRP14,CYB561A3,VAMP8,TYROBP,TPM2,RNASE6,SPIB,GPX1,FCER1G,IRF4,CTSC,SELL,BCL11A,MZB1,TAGLN2,SMPD3,PARK7,HSP90B1,TCL1A,LILRB4,DERL3,CD74,COMMD6,PLEK,SLC15A4,CST3,CD68,UCP2,CXCR4,CD4,PTCRA,ERP29,TGFBI,CXCR3,PSAP,LRRC26,CLEC4C,PTPRE,MAP1A,GRN,ZFP36,SCT,MAPKAPK2,TRAF4,STMN1,RGS1,CD164,PTPRS,S100A6,SLC7A5,IRF2BP2,FAM129C,CYBA,SELPLG,NUCB2,LTB,HIGD1A,DUSP5,MYL12B,LDLRAD4,CLN8,DSTN,SLC20A1,SEC61G,SSR4,DNASE1L3,GAPT	Interleukin-2 signaling pathway; neutrophil activation involved in immune response (GO:0002283); TYROBP Causal Network WP3945; neutrophil degranulation (GO:0043312); neutrophil mediated immunity (GO:0002446)	Allograft Rejection; Complement; IL-2/STAT5 Signaling	neutrophil activation involved in immune response (GO:0002283); neutrophil degranulation (GO:0043312); neutrophil mediated immunity (GO:0002446)	Immune System Homo sapiens R-HSA-168256	Interleukin-2 signaling pathway; Leptin influence on immune response; Immune system	TYROBP Causal Network WP3945; Development of pulmonary dendritic cells and macrophage subsets WP3892	Protein export; Protein processing in endoplasmic reticulum; Lysosome	chemokine binding (GO:0019956)	TCF4,LYL1,IKZF1,MAP2K1,SPI1,KMT2A,CD74,ETV6,RUNX1,NCOR2,EBNA3C,RELA,HMG20A,BCL6,EBF1,FOXP1,SP1,MEF2B,JUNB,NR3C1	CAL-1,Dendritic Cell	IRF7,IRF8,SOX4,ZFAT,PRKCB	LYL1,IKZF1,SPI1,ETV6,RUNX1	TCF4,NR3C1,SPIB,BCL11A,XBP1,IRF4	TCF4,NR3C1,SPIB,BCL11A,XBP1,IRF4,CREM,MYBL2,KLF6	pDC
4	MeC_4	XBP1,SUB1,JUN,ATF4,PRDM1	SSR4,MZB1,XBP1,FKBP11,JCHAIN,HSP90B1,SEC11C,HERPUD1,PPIB,IGKC,PRDX4,ISG20,IGLL5,DERL3,MYDGF,SSR3,SDF2L1,SPCS2,ITM2C,SUB1	SSR4,MZB1,XBP1,FKBP11,JCHAIN,HSP90B1,SEC11C,HERPUD1,PPIB,IGKC,PRDX4,ISG20,IGLL5,DERL3,MYDGF,SSR3,SDF2L1,SPCS2,ITM2C,SUB1,HSPA5,FKBP2,SPCS3,SEC61B,BTG2,CD79A,PDIA6,PIM2,MANF,SPCS1,SERP1,RABAC1,CYBA,IGHA1,SSR2,LMAN1,ERLEC1,IGHG1,PDIA4,TMEM258,UBE2J1,TMEM59,TNFRSF17,DNAJB9,IGHG3,NUCB2,JUN,RPN2,CD38,CALR,CD27,CRELD2,HM13,TRAM1,TMED9,HLA-C,OSTC,DAD1,RPL36AL,KDELR2,TMBIM6,SEC61G,VIMP,GSTP1,OST4,TMED2,NEAT1,PLPP5,TMED10,IGLC2,LMAN2,TENT5C,P4HB,POU2AF1,ATF4,CYTIP,COPE,SELENOS,MTDH,SDC1,IGLC3,ERGIC3,CITED2,RRBP1,SELK,TXNDC15,DDOST,JSRP1,KRTCAP2,DERL1,TXNDC11,MIF,HIST1H1C,FCRL5,SLAMF7,IDH2,SEC62,GLRX,SEL1L,PRDM1	Protein processing in the endoplasmic reticulum; Protein processing in endoplasmic reticulum; Metabolism of proteins Homo sapiens R-HSA-392499; Unfolded Protein Response (UPR) Homo sapiens R-HSA-381119; Protein export	Unfolded Protein Response; mTORC1 Signaling; Protein Secretion	protein exit from endoplasmic reticulum (GO:0032527); response to endoplasmic reticulum stress (GO:0034976); ERAD pathway (GO:0036503)	Metabolism of proteins Homo sapiens R-HSA-392499; Unfolded Protein Response (UPR) Homo sapiens R-HSA-381119; SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339	Protein processing in the endoplasmic reticulum; Diabetes pathways; Protein export	Photodynamic therapy-induced unfolded protein response WP3613	Protein processing in endoplasmic reticulum; Protein export; Vibrio cholerae infection	dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579); oligosaccharyl transferase activity (GO:0004576); immunoglobulin receptor binding (GO:0034987)	XBP1,FOXP1,BRD4,TP53,RELA,MAX,TCF4,KMT2A,MYC,TCF7L1,MYB,BCL6,TAF1,TCF12,MED1,CHD2,EBF1,NOTCH1,MAZ,MEF2B	MDA-MB-231,Epithelium,Breast	SUB1,POU2AF1,ATF4,CITED2,EAF2	FOXP1,BRD4,TP53,RELA,MAX	XBP1	XBP1,JUN,PRDM1	Plasma
5	MeC_5	HMGB2,HMGB1,HMGB3,MXD3	ARL6IP1,HMGB2,UBE2C,TUBB4B,PTTG1,CENPF,TOP2A,KPNA2,CKS2,CCNB1,CDC20,TUBA1B,CCNB2,TUBA1C,BIRC5,MKI67,ASPM,HMGN2,NUSAP1,PLK1	ARL6IP1,HMGB2,UBE2C,TUBB4B,PTTG1,CENPF,TOP2A,KPNA2,CKS2,CCNB1,CDC20,TUBA1B,CCNB2,TUBA1C,BIRC5,MKI67,ASPM,HMGN2,NUSAP1,PLK1,TUBB,CDKN3,TPX2,CKS1B,CALM2,HIST1H4C,DLGAP5,STMN1,SMC4,CENPE,RAD21,AURKB,CCNA2,HMMR,NUCKS1,CDK1,TROAP,ANP32E,H2AFV,TUBA1A,NUF2,HMGB1,GTSE1,LGALS1,KIF20B,UBE2S,CENPA,CDCA8,HMGB3,CKAP2,AURKA,PRC1,CDCA3,HSP90B1,HP1BP3,DCTN3,BUB3,MAD2L1,CALM3,JPT1,KIF23,KIF2C,UBB,BUB1,DYNLL1,KIF22,SDCBP,CDC25B,RACGAP1,HN1,H2AFZ,VIM,CENPW,KIF14,PTMS,NDC80,TMPO,H2AFX,TACC3,SUN2,KNSTRN,CKAP2L,WSB1,KIFC1,DEPDC1,CKAP5,NEK2,LSM5,MXD3,MZT1,LRRFIP1,HJURP,MYL12A,NCAPG,KIF20A,CEP55,DDX39A,CDCA2,RAN,PRR11	G2-M Checkpoint; E2F Targets; Cell Cycle Homo sapiens R-HSA-1640170; Cell Cycle, Mitotic Homo sapiens R-HSA-69278; Cell cycle	G2-M Checkpoint; E2F Targets; Mitotic Spindle	mitotic spindle organization (GO:0007052); microtubule cytoskeleton organization involved in mitosis (GO:1902850); mitotic sister chromatid segregation (GO:0000070)	Cell Cycle Homo sapiens R-HSA-1640170; Cell Cycle, Mitotic Homo sapiens R-HSA-69278; M Phase Homo sapiens R-HSA-68886	Cell cycle; Aurora B signaling; M phase pathway	Regulation of sister chromatid separation at the metaphase-anaphase transition WP4240; Retinoblastoma Gene in Cancer WP2446; Cell Cycle WP179	Cell cycle; Oocyte meiosis; Progesterone-mediated oocyte maturation	microtubule binding (GO:0008017); tubulin binding (GO:0015631); microtubule motor activity (GO:0003777)	MYBL2,FOXM1,E2F4,E2F1,RBL2,RNF2,FOXP1,NFYA,BARX2,TFDP1,FOS,SAP30,CHD2,IRF3,SP1,SRSF3,GTF2B,HDAC1,SNRNP70,KAT5	Epithelium,Mammary Gland	HMGB2,HMGN2,HMGB1,CENPA,HMGB3	MYBL2,FOXM1,E2F4,E2F1,RBL2		KLF6,MXD3	TMKI67
6	MeC_6	ID2,FOS,CEBPD,SPI1	CST3,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DPA1,FCER1A,HLA-DRB1,HLA-DRA,LSP1,CLEC10A,PPA1,CD74,CD1C,GSTP1,HLA-DMA,HLA-DRB5,AREG,COTL1,CPVL,VIM	CST3,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DPA1,FCER1A,HLA-DRB1,HLA-DRA,LSP1,CLEC10A,PPA1,CD74,CD1C,GSTP1,HLA-DMA,HLA-DRB5,AREG,COTL1,CPVL,VIM,TUBA1B,HLA-DMB,LYZ,S100A10,GSN,TUBA1A,LGALS2,SAMHD1,RGS10,ARL4C,ANXA1,JAML,HLA-DQA2,H2AFY,ALDH2,ID2,C1orf162,GPR183,SPINT2,TIMP1,HMGN1,CD1E,ACTB,CTSH,GDI2,NAP1L1,PKIB,ACTG1,LST1,ITGB2,CSTB,PAK1,CST7,EIF3L,MYL12A,LGALS1,DDIT4,FOS,BASP1,CEBPD,CFP,CSF2RA,PABPC1,CKLF,ANXA2,TMSB10,NDRG2,SERPINB1,SNX3,RAC1,AP1S2,BID,HINT1,RGS1,RGCC,RNASE6,RBPJ,LIMD2,TMEM14C,MNDA,PLD4,SPI1,ARPC1B,RNH1,FAM49B,DBI,CNN2,GLIPR1,LRRFIP1,GABARAPL2,ENHO,PPT1,IFI30,STK17B,KCNK6,INSIG1,LCP1,PKM,PRCP,DUSP2	Viral myocarditis; Viral myocarditis; Asthma; Asthma; Ebola Virus Pathway on Host WP4217	Allograft Rejection; Epithelial Mesenchymal Transition; Apoptosis	antigen processing and presentation of exogenous peptide antigen (GO:0002478); antigen processing and presentation of peptide antigen via MHC class II (GO:0002495); antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	MHC class II antigen presentation Homo sapiens R-HSA-2132295; Translocation of ZAP-70 to Immunological synapse Homo sapiens R-HSA-202430; Generation of second messenger molecules Homo sapiens R-HSA-202433	Viral myocarditis; Asthma; Phagosome	Ebola Virus Pathway on Host WP4217; Allograft Rejection WP2328; Pathogenic Escherichia coli infection WP2272	Viral myocarditis; Asthma; Phagosome	MHC class II receptor activity (GO:0032395); MHC class II protein complex binding (GO:0023026); peptidase inhibitor activity (GO:0030414)	CIITA,SPI1,IRF1,BRD4,CEBPB,RBL2,STAT1,ZNF669,JMJD1C,RFX5,CD74,FOS,DRAP1,HMG20A,RELA,CEBPA,MEF2B,KAT2B,HOXA9,FAIRE	Raji,B Lymphocyte,Blood	ID2,BASP1,CEBPD,MNDA,SUB1	IRF1,BRD4,CEBPB,RBL2,STAT1	SPI1,CIITA,FOS	SPI1,CIITA,FOS,KLF4	M1,cDC2,M2,pDC,cDC1,Monocyte,B
7	MeC_7	BATF,FOXP3,ARID5B,CREM,IKZF2,PRDM1,REL,TSC22D3,GATA3	IL32,TNFRSF18,TNFRSF4,LTB,S100A4,BATF,IL2RA,CARD16,CTSC,FOXP3,CD7,TIGIT,SAT1,TNFRSF1B,CD27,CTLA4,UGP2,GBP2,PMAIP1,SPOCK2	IL32,TNFRSF18,TNFRSF4,LTB,S100A4,BATF,IL2RA,CARD16,CTSC,FOXP3,CD7,TIGIT,SAT1,TNFRSF1B,CD27,CTLA4,UGP2,GBP2,PMAIP1,SPOCK2,TBC1D4,ICOS,PIM2,DNPH1,TNFRSF9,GLRX,DUSP4,IL2RG,GADD45A,HLA-A,ENO1,LAIR2,STK17B,LAYN,IL1R2,ARID5B,IL2RB,CORO1B,ACP5,GBP5,UCP2,PHLDA1,RPS27L,MAGEH1,HTATIP2,PBXIP1,MIR4435-2HG,TYMP,BIRC3,CXCR6,BTG1,CD2,PKM,CD74,S100A6,SYNGR2,RTKN2,SOD1,CST7,CCR8,CCND2,SH2D2A,NAMPT,CREM,CYTIP,IKZF2,PRDM1,CASP1,UQCRB,TRAC,PARK7,REL,RGS1,STAM,AC017002.3,ARL6IP5,ARPC1B,COX17,CALM3,SELL,SERPINB9,SLAMF1,GAPDH,BTG3,NDUFA4,CFLAR,ENTPD1,NEAT1,LMNA,SUMO2,DOK2,TSC22D3,SH3BGRL,CD247,CYTOR,MYL6,GATA3,DDIT4,RHBDD2,TNFAIP3	Interleukin-2 signaling pathway; T cell receptor regulation of apoptosis; IL-2/STAT5 Signaling; Apoptosis; TNF-alpha Signaling via NF-kB	IL-2/STAT5 Signaling; Apoptosis; TNF-alpha Signaling via NF-kB	regulation of T cell differentiation (GO:0045580); cytokine-mediated signaling pathway (GO:0019221); regulation of apoptotic process (GO:0042981)	Immune System Homo sapiens R-HSA-168256; Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215; TNFs bind their physiological receptors Homo sapiens R-HSA-5669034	Interleukin-2 signaling pathway; T cell receptor regulation of apoptosis; CD8/T cell receptor downstream pathway	Apoptosis Modulation and Signaling WP1772; Inflammatory Response Pathway WP453; Vitamin D Receptor Pathway WP2877	Cytokine-cytokine receptor interaction; Th17 cell differentiation; NOD-like receptor signaling pathway	cysteine-type endopeptidase inhibitor activity (GO:0004869); protease binding (GO:0002020); cytokine receptor activity (GO:0004896)	T,MAF,STAT5B,MYB,STAT5,RELA,CD74,BRD4,CDK9,ETS1,KMT2A,GATA3,NOTCH1,TAL1,TBX21,IRF1,IRF2,PML,STAT1,LYL1	Th1	ENO1,ARID5B,HTATIP2,PBXIP1,BTG1	T,MAF,STAT5B,MYB,RELA	GATA3,FOXP3,BATF,PRDM1,STAT3,REL	GATA3,FOXP3,BATF,PRDM1,STAT3,REL	Treg
8	MeC_8	HOPX,ID2,REL,FOS,XBP1,CEBPD,TBX21	GNLY,TYROBP,KLRB1,FCER1G,CD7,KLRD1,KLRF1,NKG7,PRF1,CTSW,IFITM2,GZMB,CMC1,HOPX,IL2RB,CD247,XCL2,PLAC8,KLRC1,SPON2	GNLY,TYROBP,KLRB1,FCER1G,CD7,KLRD1,KLRF1,NKG7,PRF1,CTSW,IFITM2,GZMB,CMC1,HOPX,IL2RB,CD247,XCL2,PLAC8,KLRC1,SPON2,TRDC,XCL1,AREG,CLIC3,FCGR3A,ID2,SRGN,CD63,JAK1,MATK,IFITM1,FGFBP2,TXK,CST7,TNFRSF18,SH2D1B,RHOC,ITGB2,IFITM3,NFKBIA,BTG1,EFHD2,CD300A,EIF3G,LAT2,IGFBP7,APMAP,GSTP1,LIMD2,FXYD5,CLIC1,REL,BIN2,RAC2,FOS,S1PR5,CXXC5,CTSD,CD160,PTGDR,AKR1C3,FAM49B,UBB,SELL,HCST,TPI1,XBP1,NCR3,HNRNPA1,GNG2,FGR,CEBPD,PFN1,DUSP2,DDIT4,PRDX5,EVL,ARHGAP9,CHST12,TMIGD2,CDC42SE1,CCL3,TTC38,IER2,CCL4,GNPTAB,GLIPR2,BST2,ZAP70,CIRBP,STK17A,SERPINB1,PRSS23,ACTG1,ATM,GZMM,CX3CR1,B3GNT7,C1orf162,TBX21	Interleukin-2 signaling pathway; Natural killer cell mediated cytotoxicity; regulation of immune response (GO:0050776); Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933; Immune System Homo sapiens R-HSA-168256	Allograft Rejection; TNF-alpha Signaling via NF-kB; IL-2/STAT5 Signaling	regulation of immune response (GO:0050776); response to interferon-gamma (GO:0034341); cytokine-mediated signaling pathway (GO:0019221)	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933; Immune System Homo sapiens R-HSA-168256; Adaptive Immune System Homo sapiens R-HSA-1280218	Interleukin-2 signaling pathway; Natural killer cell-mediated cytotoxicity; T cell receptor regulation of apoptosis	Chemokine signaling pathway WP3929; miRNAs involvement in the immune response in sepsis WP4329; Microglia Pathogen Phagocytosis Pathway WP3937	Natural killer cell mediated cytotoxicity; Th1 and Th2 cell differentiation; Chemokine signaling pathway	chemokine receptor binding (GO:0042379); non-membrane spanning protein tyrosine kinase activity (GO:0004715); CCR chemokine receptor binding (GO:0048020)	T,ZNF552,GATA3,MYB,ZNF701,CEBPA,LYL1,SPI1,KMT2A,STAT5B,RUNX1,STAT6,TAL1,LMO2,CUX1,EZH2,SMAD1,AR,DROSHA,TBX21	Th1	HOPX,ID2,NFKBIA,BTG1,REL	T,ZNF552,GATA3,MYB,ZNF701	TBX21	TBX21,FOS	MAIT,NK,CD4Teff
9	MeC_9	TCF7L2,SPI1,MAFB,CEBPB,POU2F2,HES4,YBX1,CUX1,TSC22D3	FCGR3A,LST1,MS4A7,NAP1L1,AIF1,IFITM2,IFITM3,SAT1,SERPINA1,RHOC,COTL1,FCER1G,CFD,LILRB2,PSAP,STXBP2,CTSS,LYN,HCK,PECAM1	FCGR3A,LST1,MS4A7,NAP1L1,AIF1,IFITM2,IFITM3,SAT1,SERPINA1,RHOC,COTL1,FCER1G,CFD,LILRB2,PSAP,STXBP2,CTSS,LYN,HCK,PECAM1,CD68,LRRC25,CDKN1C,FTH1,PILRA,TCF7L2,MTSS1,RNASET2,FTL,BCL2A1,WARS,HMOX1,LINC01272,TNFRSF1B,S100A11,SPI1,VASP,PTPN6,MAFB,CEBPB,ASAH1,DRAP1,POU2F2,RHOB,BID,CSF1R,HES4,TUBA1A,C5AR1,TIMP1,RPS19,CD52,LILRB1,TUBA1B,CALM2,NAAA,CTSC,ABI3,EVI2B,CYTIP,LILRA5,FAM26F,SLC7A7,SIGLEC10,YBX1,FKBP1A,CSTB,MAPKAPK3,UNC119,PPDPF,NACA,LYST,LILRA1,S100A4,NFKBIZ,SPN,CUX1,TYROBP,TESC,ARPC3,IFI30,BIN2,SMIM25,ZFAND5,LYPD2,TSC22D3,RNF149,FAM110A,CD37,RAP1B,LTA4H,SLC11A1,CXCL16,SOD1,ARRB2,NPC2,CD48,DUSP1,SLC2A6,TKT	neutrophil degranulation (GO:0043312); neutrophil activation involved in immune response (GO:0002283); neutrophil mediated immunity (GO:0002446); negative regulation of lymphocyte proliferation (GO:0050672); Interleukin-2 signaling pathway	Complement; Apoptosis; UV Response Up	neutrophil degranulation (GO:0043312); neutrophil activation involved in immune response (GO:0002283); neutrophil mediated immunity (GO:0002446)	Immune System Homo sapiens R-HSA-168256; Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002; Hemostasis Homo sapiens R-HSA-109582	Interleukin-2 signaling pathway; Platelet activation, signaling and aggregation; Hemostasis pathway	TYROBP Causal Network WP3945; Microglia Pathogen Phagocytosis Pathway WP3937; Ferroptosis WP4313	Osteoclast differentiation; B cell receptor signaling pathway; Lysosome	protein homodimerization activity (GO:0042803); MHC class I protein binding (GO:0042288)	RUNX1,SPI1,SMAD1,STAT1,NR4A1,RARA,TAL1,NCOR1,IRF1,CD74,KMT2A,FLI1,CEBPA,PML,BRD4,LMO2,ERG,RXRG,JMJD1C,RUNX1T1	Kasumi-1,Myeloblast,Blood	HES4,TSC22D3,KLF2,KLF3,ID2	RUNX1,SMAD1,STAT1,RARA,TAL1	SPI1,NR4A1,CUX1,CEBPB,JUNB,TCF7L2	SPI1,NR4A1,CUX1,CEBPB,JUNB,TCF7L2,POU2F2,KLF4,YBX1,MAFB	M1,Monocyte,M2,cDC2
