	cluster	cluster_color	dataset	dataset_color	type	type_color
SCC_GSE123813_aPD1.54	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SCC_GSE123813_aPD1	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
PAAD_GSE111672.98	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD_GSE111672	(1.0, 0.4980392156862745, 0.054901960784313725)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
GBM_GSE84465.87	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	GBM_GSE84465	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
GBM_GSE138794.30	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	GBM_GSE138794	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
HNSC_GSE103322.39	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	HNSC_GSE103322	(1.0, 0.4980392156862745, 0.054901960784313725)	HNSC	(1.0, 0.4980392156862745, 0.054901960784313725)
PBMC_8K.66	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PBMC_8K	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
GBM_GSE131928_Smartseq2.18	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	GBM_GSE131928_Smartseq2	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	GBM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
PBMC_30K.91	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PBMC_30K	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	PBMC	(0.5803921568627451, 0.403921568627451, 0.7411764705882353)
BRCA_GSE114727_inDrop.69	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE114727_inDrop	(1.0, 0.4980392156862745, 0.054901960784313725)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
NSCLC_EMTAB6149.97	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	NSCLC_EMTAB6149	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	NSCLC	(1.0, 0.4980392156862745, 0.054901960784313725)
UVM_GSE139829.71	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	UVM_GSE139829	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	UVM	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)
COAD_GSE108989.30	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	COAD_GSE108989	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	COAD	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)
PRAD_GSE141445.83	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PRAD_GSE141445	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)	PRAD	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
AML_GSE116256.21	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	AML_GSE116256	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	AML	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
SCC_GSE145328.73	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SCC_GSE145328	(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
SCC_GSE144236.50	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SCC_GSE144236	(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)	SCC	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
PAAD_CRA001160.3	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD_CRA001160	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	PAAD	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
SKCM_GSE72056.4	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	SKCM_GSE72056	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)	SKCM	(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)
KIRC_GSE111360.97	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	KIRC_GSE111360	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)	KIRC	(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)
BCC_GSE141526.13	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BCC_GSE141526	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	BCC	(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)
CHOL_GSE142784.67	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	CHOL_GSE142784	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)	CHOL	(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)
BRCA_GSE114727_10X.6	0	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA_GSE114727_10X	(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)	BRCA	(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)
